pressure,altitude,temperature,dew_point,wind_direction,wind_speed
895,1067,16.8,6.6,23.4,0.2
850,1506,14.9,0.7,347.5,0.5
800,2014,10.2,-1.6,345.4,1.6
750,2547,5.7,-4.2,338.3,3.0
700,3107,2.0,-10.9,322.0,4.2
650,3702,-1.2,-18.3,314.0,5.7
600,4334,-5.5,-16.2,314.4,5.6
550,5011,-10.2,-23.3,305.2,6.9
500,5738,-15.2,-30.3,284.5,7.4
450,6526,-20.4,-32.6,266.4,6.1
400,7386,-27.3,-33.8,249.3,5.1
350,8331,-34.9,-42.9,241.2,8.4
300,9387,-43.6,-47.3,242.4,7.6
250,10587,-52.7,-55.2,218.9,8.0
200,11994,-62.8,-65.0,196.0,8.4
150,13750,-64.4,-75.0,241.6,3.0
100,16259,-61.1,-84.2,331.8,2.2
50,20562,-60.3,-89.0,93.8,3.7
20,26388,-53.3,-999.0,84.0,3.8
